Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2137
Epoch, Test Loss, Training Loss
224,0.0045375,0.0012384
225,0.0030693,0.0009687
226,0.0033257,0.0013195
227,0.0048997,0.0015963
228,0.0034853,0.0013557
229,0.0047655,0.0028358
230,0.0063066,0.0020025
231,0.0038872,0.0009211
232,0.0041220,0.0012527
233,0.0033072,0.0020583
234,0.0027660,0.0018073
235,0.0027670,0.0011870
236,0.0044071,0.0012251
237,0.0029420,0.0010210
238,0.0053641,0.0034144
239,0.0032028,0.0011260
240,0.0029565,0.0007511
241,0.0028172,0.0008555
242,0.0033282,0.0011455
243,0.0025761,0.0007183
244,0.0040118,0.0009600
245,0.0029696,0.0008421
246,0.0037516,0.0017349
247,0.0043149,0.0010829
248,0.0062248,0.0014829
249,0.0034034,0.0011445
250,0.0031229,0.0010528
251,0.0039800,0.0010630
252,0.0030978,0.0009240
253,0.0040629,0.0008943
254,0.0029323,0.0008895
255,0.0066477,0.0056512
256,0.0045676,0.0017235
257,0.0029467,0.0017152
258,0.0026942,0.0009738
259,0.0030292,0.0010907
260,0.0025966,0.0019594
261,0.0042302,0.0027074
262,0.0047230,0.0021451
263,0.0040527,0.0016369
264,0.0038604,0.0010944
265,0.0037770,0.0013168
266,0.0035774,0.0009399
267,0.0030229,0.0009817
268,0.0028795,0.0010867
269,0.0030158,0.0011112
270,0.0027398,0.0008894
271,0.0026811,0.0006921
272,0.0086243,0.0060952
273,0.0041913,0.0012791
274,0.0027364,0.0008222
275,0.0028490,0.0013180
276,0.0045270,0.0008443
277,0.0026965,0.0011959
278,0.0027585,0.0008680
279,0.0032976,0.0009591
280,0.0034160,0.0013986
281,0.0086697,0.0023179
282,0.0031150,0.0010049
283,0.0035400,0.0008390
284,0.0042866,0.0009595
285,0.0029199,0.0010877
286,0.0030659,0.0008418
287,0.0033242,0.0008676
288,0.0030949,0.0010440
289,0.0035906,0.0016622
290,0.0024653,0.0009231
291,0.0036674,0.0012999
292,0.0032253,0.0013260
293,0.0028026,0.0008885
294,0.0027475,0.0015192
295,0.0029188,0.0011276
296,0.0024380,0.0007256
297,0.0034223,0.0020034
298,0.0037043,0.0011342
299,0.0034591,0.0013039
300,0.0029632,0.0011751
301,0.0038495,0.0010885
302,0.0037783,0.0009733
303,0.0040044,0.0007826
304,0.0048954,0.0008663
305,0.0032680,0.0007491
306,0.0039895,0.0012239
307,0.0032429,0.0009118
308,0.0031915,0.0013443
309,0.0025206,0.0006864
310,0.0028178,0.0009357
311,0.0029049,0.0011344
312,0.0031377,0.0010372
313,0.0029102,0.0009400
314,0.0027156,0.0007290
315,0.0029404,0.0015783
316,0.0035573,0.0010904
317,0.0026375,0.0011419
318,0.0061526,0.0027933
319,0.0048420,0.0008623
320,0.0040407,0.0010619
321,0.0031933,0.0008862
322,0.0034409,0.0007083
323,0.0033811,0.0017437
324,0.0031370,0.0007942
325,0.0031819,0.0009540
326,0.0027039,0.0006460
327,0.0037445,0.0008140
328,0.0030787,0.0008321
329,0.0040390,0.0010420
330,0.0031919,0.0008646
331,0.0026071,0.0008813
332,0.0025496,0.0007998
333,0.0029150,0.0010575
334,0.0027815,0.0009822
335,0.0031044,0.0014281
336,0.0031410,0.0007927
337,0.0033700,0.0008105
338,0.0030143,0.0005930
339,0.0025150,0.0008126
340,0.0032853,0.0013133
341,0.0029634,0.0006757
342,0.0027212,0.0007450
343,0.0038090,0.0016119
344,0.0036303,0.0007869
345,0.0030859,0.0006281
346,0.0033063,0.0007461
347,0.0039270,0.0012008
348,0.0055565,0.0029162
349,0.0029214,0.0006553
350,0.0025855,0.0005604
351,0.0029456,0.0008606
352,0.0036875,0.0008637
353,0.0046753,0.0011558
354,0.0033782,0.0007571
355,0.0036188,0.0007156
356,0.0029718,0.0006903
357,0.0023981,0.0005678
358,0.0034603,0.0009755
359,0.0024255,0.0006654
360,0.0034378,0.0007363
361,0.0023765,0.0007261
362,0.0024773,0.0006205
363,0.0024297,0.0010178
364,0.0036368,0.0016798
365,0.0036593,0.0008161
366,0.0030609,0.0013689
367,0.0035555,0.0005367
368,0.0029469,0.0008599
369,0.0024684,0.0005967
370,0.0025016,0.0005962
371,0.0030170,0.0009805
372,0.0027035,0.0016254
373,0.0032161,0.0012441
374,0.0034165,0.0015157
375,0.0035957,0.0007187
376,0.0027604,0.0006532
377,0.0031554,0.0007664
378,0.0025470,0.0006368
379,0.0025179,0.0008310
380,0.0030296,0.0010243
381,0.0026751,0.0008101
382,0.0027060,0.0009144
383,0.0025199,0.0007729
384,0.0028856,0.0008246
385,0.0023352,0.0008483
386,0.0023820,0.0006018
387,0.0034776,0.0006253
388,0.0024299,0.0009470
389,0.0023480,0.0005127
390,0.0032974,0.0016591
391,0.0024025,0.0006987
392,0.0025566,0.0011254
393,0.0036036,0.0007850
394,0.0033416,0.0006201
395,0.0029488,0.0005563
396,0.0036549,0.0017712
397,0.0030608,0.0009497
398,0.0038096,0.0009064
399,0.0038671,0.0007106
400,0.0031458,0.0005208
401,0.0024660,0.0006403
402,0.0023810,0.0006416
403,0.0027064,0.0007919
404,0.0036765,0.0011776
405,0.0037743,0.0009960
406,0.0048292,0.0025195
407,0.0033040,0.0011264
408,0.0032480,0.0014046
409,0.0034306,0.0013106
410,0.0032783,0.0007734
411,0.0026148,0.0007265
412,0.0029089,0.0008739
413,0.0032145,0.0009551
414,0.0056024,0.0017253
415,0.0025322,0.0009961
416,0.0027572,0.0009417
417,0.0037611,0.0007640
418,0.0023857,0.0008805
419,0.0031571,0.0008430
420,0.0032665,0.0008469
421,0.0039739,0.0010839
422,0.0026186,0.0008168
423,0.0026228,0.0006390
424,0.0024449,0.0006232
425,0.0025528,0.0005602
426,0.0032499,0.0008329
