Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2204
Epoch, Test Loss, Training Loss
196,0.2730891,0.1497302
197,0.2865258,0.1005430
198,0.2298419,0.1635721
199,0.2382210,0.1264018
200,0.2405746,0.0892447
201,0.3079375,0.0928462
202,0.2708485,0.0738110
203,0.2249379,0.0520000
204,0.2647811,0.1402937
205,0.3104931,0.0514868
206,0.2704249,0.0512271
207,0.5476601,0.2716447
208,0.2327498,0.0655832
209,0.2492613,0.1173583
210,0.2220588,0.0592605
211,0.1882871,0.1125571
212,0.3181579,0.1319818
213,0.3241406,0.0752377
214,0.2020492,0.1086293
215,0.2114376,0.1712813
216,0.3484995,0.0847269
217,0.2221199,0.2332824
218,0.2422803,0.1697510
219,0.2255142,0.0949550
220,0.1934860,0.1200392
221,0.2206737,0.2839546
222,0.2381042,0.0653861
223,0.3230120,0.0771292
224,0.3527026,0.1097260
225,0.2893180,0.1940481
226,0.2359009,0.1175914
227,0.2062162,0.0578521
228,0.1953539,0.1099823
229,0.2261722,0.0966777
230,0.4104313,0.2655793
231,0.3157263,0.0991946
232,0.2072952,0.1141030
233,0.3153492,0.1069626
234,0.2194155,0.0441413
235,0.1859984,0.0411414
236,0.2180289,0.1062518
237,0.1912066,0.1452426
238,0.4815080,0.0922090
239,0.1949985,0.0735900
240,0.2908821,0.1123225
241,0.2379626,0.0696234
242,0.3341464,0.0333675
243,0.2761261,0.2309415
244,0.2142616,0.1769694
245,0.1743688,0.1746163
246,0.2543567,0.0991888
247,0.1857235,0.0466792
248,0.3066764,0.1820193
249,0.2114388,0.0798200
250,0.1678431,0.0283989
251,0.2927042,0.1429274
252,0.1787267,0.1485702
253,0.2377461,0.0718773
254,0.1909219,0.0751729
255,0.2690736,0.1193839
256,0.2350252,0.1030430
257,0.2712961,0.1334169
258,0.2472160,0.0501501
259,0.2585611,0.0306975
260,0.2115426,0.1420184
261,0.2315553,0.0232471
262,0.2344167,0.0388224
263,0.1781868,0.1588013
264,0.2674555,0.1205026
265,0.1446460,0.0721441
266,0.1719661,0.0398514
267,0.2155428,0.1041112
268,0.3122464,0.0823691
269,0.2335238,0.1292621
270,0.2225949,0.0874177
271,0.1662894,0.0662468
272,0.1630249,0.0341173
273,0.2301823,0.0887122
274,0.2249302,0.0495716
275,0.3320016,0.1056207
276,0.1888560,0.1639079
277,0.1724192,0.1227583
278,0.1967001,0.1342826
279,0.1651225,0.1958839
280,0.1925156,0.0964574
281,0.2159593,0.0502384
282,0.1939391,0.0568959
283,0.2844735,0.0746744
284,0.2193369,0.0670166
285,0.2701126,0.0493166
286,0.1946797,0.0417252
287,0.1731089,0.0460613
288,0.2270101,0.0378823
289,0.2605748,0.0983158
290,0.1470306,0.0513966
291,0.1753457,0.1279055
292,0.2304370,0.1695592
293,0.1928538,0.0871209
294,0.1702706,0.1867401
295,0.1693153,0.0838442
296,0.2234164,0.0847979
297,0.2065839,0.1072778
298,0.3190227,0.0970424
299,0.2479780,0.0597969
300,0.1741406,0.0665421
301,0.1965154,0.0722452
302,0.2688065,0.1964424
303,0.1661314,0.0656487
304,0.1755025,0.0447087
305,0.1909005,0.0884622
306,0.2726827,0.1620493
307,0.1880733,0.0761171
308,0.1642111,0.0368365
309,0.1735615,0.0851227
310,0.1614854,0.0399487
311,0.1477968,0.1754645
312,0.1647061,0.1728218
313,0.1229341,0.0659503
314,0.2348065,0.0959862
315,0.1670499,0.1133191
316,0.2306577,0.0588235
317,0.2170909,0.0790338
318,0.2787349,0.1443620
319,0.1240060,0.0784923
320,0.1828027,0.0488321
321,0.1710515,0.0368948
322,0.1601895,0.0302356
323,0.1737287,0.1408784
324,0.1955710,0.1450585
325,0.1840930,0.0686653
326,0.1621325,0.0456183
327,0.1657847,0.0986678
328,0.2615932,0.0994568
329,0.1522037,0.0316732
330,0.1214489,0.1146273
331,0.1754446,0.0399744
332,0.2524934,0.1191874
333,0.1931333,0.0746749
334,0.1516320,0.1673234
335,0.1732747,0.0343531
336,0.1617510,0.0485495
337,0.1529668,0.0410051
338,0.2400730,0.0377317
339,0.3166621,0.1034526
340,0.2292172,0.0998384
341,0.2983954,0.3175748
342,0.1834750,0.0721316
343,0.1599853,0.0336767
344,0.1638449,0.0799500
