Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2153
Epoch, Test Loss, Training Loss
224,0.0046808,0.0006818
225,0.0033599,0.0011390
226,0.0028875,0.0009124
227,0.0036856,0.0006719
228,0.0038287,0.0014707
229,0.0030634,0.0009177
230,0.0027425,0.0008902
231,0.0030172,0.0012455
232,0.0028357,0.0009881
233,0.0045738,0.0016213
234,0.0030627,0.0010877
235,0.0032484,0.0013006
236,0.0024722,0.0009366
237,0.0040470,0.0008684
238,0.0043873,0.0017607
239,0.0026522,0.0016808
240,0.0030613,0.0009215
241,0.0022396,0.0006775
242,0.0026224,0.0007740
243,0.0023638,0.0017560
244,0.0027252,0.0006543
245,0.0030730,0.0009547
246,0.0022403,0.0007102
247,0.0025706,0.0013887
248,0.0037952,0.0014021
249,0.0038741,0.0011127
250,0.0024834,0.0010312
251,0.0071199,0.0018046
252,0.0020337,0.0018443
253,0.0027577,0.0010215
254,0.0020073,0.0010793
255,0.0030984,0.0009982
256,0.0066037,0.0018389
257,0.0028013,0.0007775
258,0.0043062,0.0018920
259,0.0025243,0.0015534
260,0.0022317,0.0009131
261,0.0021051,0.0008660
262,0.0022716,0.0009814
263,0.0017844,0.0007452
264,0.0025802,0.0004695
265,0.0023287,0.0004840
266,0.0273809,0.0071928
267,0.0020069,0.0012598
268,0.0017826,0.0008229
269,0.0028326,0.0015041
270,0.0025257,0.0014097
271,0.0020432,0.0011555
272,0.0024402,0.0007361
273,0.0017884,0.0010242
274,0.0023395,0.0021608
275,0.0023014,0.0009830
276,0.0130753,0.0019721
277,0.0024874,0.0005532
278,0.0018984,0.0015179
279,0.0022906,0.0016675
280,0.0022505,0.0015528
281,0.0028740,0.0007898
282,0.0020594,0.0007078
283,0.0023801,0.0006128
284,0.0017744,0.0006020
285,0.0046556,0.0021213
286,0.0025977,0.0009256
287,0.0019402,0.0013743
288,0.0020899,0.0004827
289,0.0017853,0.0004324
290,0.0019205,0.0013682
291,0.0020832,0.0006697
292,0.0021542,0.0006754
293,0.0019678,0.0004761
294,0.0030659,0.0015318
295,0.0026305,0.0007923
296,0.0028651,0.0005266
297,0.0024457,0.0009571
298,0.0019771,0.0004130
299,0.0029497,0.0010846
300,0.0020786,0.0020094
301,0.0018088,0.0006845
302,0.0019701,0.0006204
303,0.0024092,0.0010230
304,0.0022689,0.0010225
305,0.0031334,0.0023426
306,0.0081786,0.0088787
307,0.0043084,0.0016761
308,0.0029214,0.0015368
309,0.0024475,0.0013461
310,0.0020384,0.0009419
311,0.0028881,0.0010794
312,0.0021136,0.0009818
313,0.0020976,0.0008143
314,0.0022771,0.0008863
315,0.0027962,0.0014448
316,0.0019776,0.0010148
317,0.0017470,0.0008352
318,0.0017921,0.0009928
319,0.0018394,0.0007072
320,0.0019531,0.0010220
321,0.0022110,0.0011615
322,0.0023756,0.0009266
323,0.0026306,0.0009236
324,0.0022653,0.0009537
325,0.0022646,0.0007038
326,0.0019841,0.0009888
327,0.0019569,0.0013503
328,0.0020579,0.0008140
329,0.0022031,0.0012437
330,0.0018144,0.0008172
331,0.0029651,0.0011092
332,0.0026974,0.0008291
333,0.0032358,0.0023351
334,0.0015532,0.0010775
335,0.0022897,0.0007780
336,0.0016823,0.0008232
337,0.0025105,0.0022850
338,0.0019172,0.0007034
339,0.0020284,0.0005756
340,0.0014951,0.0004613
341,0.0023730,0.0010488
342,0.0016944,0.0005880
343,0.0021140,0.0013261
344,0.0017769,0.0015160
345,0.0018125,0.0006771
346,0.0023832,0.0006390
347,0.0019993,0.0010922
348,0.0021250,0.0009803
349,0.0031069,0.0015299
350,0.0017178,0.0014129
351,0.0019342,0.0008183
352,0.0019414,0.0006856
353,0.0016363,0.0005365
